feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,class
9.257693264151136,7.690942188437254,18.046979151737347,18.308542320863047,10.294761672412664,8.984257634892863,11.636627209372351,5.0531510622493006,9.873016003876174,8.131546924918501,0.7852728074522665,1.559889538348409,4.428121075918105,6.892759343951189,A
2.0821103311977134,6.396075074510151,9.653657612451063,17.296324866253087,1.0130109209050389,12.993646521028316,14.593125415463069,7.269508395208003,-1.0877906212186108,5.568492202719639,1.465341056931243,5.069226612915098,5.400842032907297,6.533360210187158,A
6.598319619154422,5.105396916218094,25.841979631575555,7.909678920713793,12.529817278668943,12.482210162991384,22.431347023130414,4.88395573288659,5.386106603613909,-1.9307992971063985,3.201301496714146,5.004350113145054,6.9431723318280865,6.75624944932717,A
4.012406388267414,1.7895077355656082,14.774153500889858,13.109744775854914,14.328259730029792,14.133466161921234,7.564665842413609,6.080592848325306,3.53730260200632,-0.15841060827204334,2.8450191143716492,5.348662246039472,5.393889103657303,6.222726772766756,A
4.923073101886826,4.881852382826688,15.860988780703595,19.832471744827593,18.087254619218555,22.376630005825675,9.443424119413732,3.809350640904103,10.584868871201348,1.8481846859947577,2.0402198665170372,1.780843727561107,6.967304623626226,6.4029939733532935,A
4.318222491587154,5.113438431552472,20.547258247590683,14.75268611720726,7.581910103671303,5.542877389152146,8.960780859884167,6.988281199274852,8.031685670556675,9.769048525525937,5.498951869548376,4.1319237656127195,6.736611370743777,5.133238898306342,A
9.381088749571916,6.436615845252703,9.417175525338155,8.982631831405298,8.479877121935166,9.363084550332324,10.170545708033577,3.531804689162139,4.76294711045655,8.50409263806516,0.4063448821259119,3.30166986953864,3.814718873646069,3.7626626864701427,A
4.76632711186658,10.034840231785637,19.905612560762965,24.576773897269575,-3.4424009844522487,6.818410179269163,19.297062270818447,1.8279320895784736,8.981291587289995,6.689527552463005,5.040853886895166,5.385141051633858,5.237377298709404,5.377964780646787,A
6.140267602890847,8.248860293437609,15.640430457908195,15.589602916210854,20.805297164686475,2.9551792347425807,5.126017199053926,7.108154936174293,1.512194382456102,3.7992830116442633,4.518755066828709,2.114471137861855,6.239884414642149,4.153041298975863,A
4.711385716912581,7.710364673966463,6.958183098821465,12.912589826208919,8.775074036515905,7.584194994675796,8.337614264768375,6.807561635164379,2.1291614535359864,9.087342949507711,5.655892434467658,2.132717047039062,5.048474345920507,5.779812264366359,A
5.690187472155186,2.652548612507794,9.60193670151449,22.4605285227804,16.663994897348893,3.9699007166831084,17.740225785229722,5.571162082663258,4.944059675727344,10.599933297805226,6.161583264369386,3.043962787222709,5.641593203829167,4.731103006697909,A
5.852530431409631,5.786133184162002,7.8598035432259925,15.864616657819822,11.950804182775643,22.28318577471689,13.894140442851754,5.287104093519402,5.271357185597409,-0.5082929837552914,3.2215093699912303,3.898801330605225,5.525929770931082,4.948520772538274,A
3.473829771789249,8.46801072402289,20.116180172526903,17.709235741881244,12.95948082746574,9.58409544209988,11.000241941247284,8.306614582656106,7.938005232819556,0.7745317193175776,2.3008412770999134,0.726438269398332,6.335955088039952,5.93616341677931,A
6.251389989261223,4.059845862185471,16.75197629740031,13.541897231812472,10.061267324154185,10.853335786389923,25.11152804097048,5.534595811093667,3.2453008976937454,9.054016024348009,0.31427679965234884,5.008120290680861,4.2628075287407174,5.9338657900123035,A
7.313483035312673,6.605975577603127,17.067989099268843,21.310878120979837,17.740250139834775,12.272587769506337,-4.217430809522483,1.9603492304111585,5.764069633433817,1.8210956291929143,3.9458917557911857,6.036919932291092,4.5830877984207525,4.35098814005503,A
5.28330057668089,11.467898060040692,11.413636147323265,20.58955552666948,17.72792102330157,2.4534979859793165,5.719566589622751,2.9930326949832,4.291325088103243,8.93866681889126,5.968269643329479,0.33944037570396585,4.142378626126645,6.871691086433481,A
4.488407909547388,8.219596500048889,16.445883566960426,20.988641958778153,14.927541555030896,-2.7305300928563856,2.3143035193483836,8.316400539880153,-0.14017138204934554,2.9318578568716203,4.31897109243916,2.1437845772823945,5.394955110162498,6.623160121604736,A
3.420198278183155,2.7217421003788607,15.156780311092362,14.637785301250117,10.451630036602499,12.266736931013877,17.90621962526737,9.450088816904998,5.858175165394407,8.188225684684392,0.9746800230738083,0.1905059023994732,5.678730001770944,5.476687142526801,A
5.442215230481272,2.88871893795355,9.929641528508002,18.9298044729788,17.224573303287002,6.5460069762014905,16.521623494931017,0.7721110021060493,1.9442595419976976,2.780496137366111,2.1947791335884514,3.767429696390693,3.7987506139403875,6.427846447443507,A
